drug,location,sold_on,quantity_purchased,quantity_sold,keep
Nitazoxanide ,10,23-07-16,48,2,No
Acyclovir ,10,02-11-18,114,5,No
Phenothiazines ,8,26-03-19,29,2,No
Keratolytics ,2,25-07-18,102,2,No
Dantrolene ,6,13-01-16,36,5,No
Ibuprofen ,4,21-05-18,85,10,No
Antihistamines ,1,12-01-19,52,6,No
RANITIDINE ,2,19-05-18,128,2,No
MAGALDRATE,13,11-11-18,37,8,No
DIPYRIDAMOLE ,9,31-07-17,109,5,No
FLUOXETINE ,9,23-06-18,27,5,No
Antihistamines ,5,20-02-18,103,6,No
Aminophylline ,1,24-01-16,88,1,No
Aminophylline ,12,19-04-16,96,10,No
PACLITAXEL ,1,13-10-16,81,9,No
Nitazoxanide ,1,24-01-19,52,7,No
Adrenaline ,8,02-04-19,125,9,No
PACLITAXEL ,9,03-10-17,121,9,No
Furazolidone ,10,08-12-16,92,9,No
Furazolidone ,3,12-05-17,83,3,No
Ciprofloxacin ,6,29-12-17,54,1,No
Paracetamol GV 500 ,12,14-02-16,100,10,No
SODIUM CHLORIDE ,12,07-02-18,67,8,No
MAGALDRATE ,6,24-04-18,11,1,No
Phenothiazines ,2,15-10-16,54,9,No
Dantrolene ,3,07-10-18,15,8,Yes
Trimethoprim ,7,08-08-16,101,7,No
DIPYRIDAMOLE ,1,22-03-16,31,3,No
Adrenaline ,6,16-03-16,129,1,No
Methotrexate ,9,06-02-17,125,1,No
Paracetamol GV 500 ,13,19-06-17,47,3,No
Keratolytics ,7,05-07-17,38,6,No
Adrenaline ,10,16-12-18,76,6,No
Estrogens ,1,14-06-18,45,7,No
Nitazoxanide ,5,03-12-18,18,5,No
SODIUM CHLORIDE ,12,14-04-16,137,7,No
Aminophylline ,10,03-10-18,10,7,Yes
RANITIDINE ,8,25-07-16,91,5,No
Furazolidone ,2,05-07-17,71,1,No
Furazolidone ,13,15-05-18,19,4,No
Panadol ,1,16-02-17,16,6,No
SODIUM CHLORIDE ,10,18-08-16,115,2,No
Tetracycline ,10,01-09-18,55,10,No
Methotrexate ,11,14-05-18,40,10,No
RANITIDINE ,12,28-02-19,136,5,No
Nitazoxanide ,13,04-05-18,26,5,No
Furazolidone ,5,02-03-17,108,8,No
PACLITAXEL ,9,05-03-18,18,2,No
RANITIDINE ,12,19-01-18,71,10,No
Antihistamines ,6,29-06-16,118,10,No
Adrenaline ,3,18-03-19,85,3,No
Antihistamines ,2,24-10-16,101,9,No
DIPYRIDAMOLE ,3,22-05-18,98,8,No
METRONIDAZOLE ,7,26-08-18,15,9,Yes
Aminophylline ,7,15-01-16,120,3,No
Paracetamol GV 500 ,9,29-12-17,95,8,No
RANITIDINE ,7,24-08-16,122,10,No
Ibuprofen ,9,16-08-18,110,2,No
Aspirin ,4,09-11-16,53,6,No
Furazolidone ,9,29-12-16,44,5,No
Acyclovir ,8,22-03-18,126,7,No
Chloramphenicol ,5,29-08-16,124,5,No
Methotrexate ,13,21-08-16,38,4,No
Methotrexate ,10,28-01-19,87,6,No
Glucagon ,2,28-02-17,100,3,No
Ibuprofen ,3,19-02-16,47,9,No
METRONIDAZOLE ,13,04-10-18,70,2,No
Acyclovir ,10,04-12-17,95,5,No
Methotrexate ,5,29-07-16,114,1,No
METRONIDAZOLE ,5,05-12-18,99,6,No
Antihistamines ,7,16-04-17,33,6,No
Tetracycline ,13,27-04-17,44,7,No
Furazolidone ,10,01-04-19,96,4,No
Panadol ,5,11-09-18,109,1,No
METRONIDAZOLE ,11,21-04-19,87,3,No
Aminophylline ,7,27-12-16,47,1,No
Tetracycline ,3,17-12-16,57,4,No
Paracetamol GV 500 ,3,07-10-17,25,3,No
Paracetamol GV 500 ,9,01-08-18,80,3,No
DIPYRIDAMOLE ,4,06-09-16,132,6,No
Glucagon ,6,28-05-16,85,10,No
Estrogens ,13,09-07-18,117,4,No
Antihistamines ,3,20-01-16,114,10,No
Ibuprofen ,9,19-12-16,48,1,No
Phenothiazines ,11,12-12-18,134,1,No
Vitamin K ,10,02-02-17,59,8,No
Antihistamines ,6,10-03-18,118,3,No
DIPYRIDAMOLE ,3,24-03-16,128,7,No
Paracetamol GV 500 ,8,27-08-18,102,4,No
METRONIDAZOLE ,1,17-08-17,102,2,No
Paracetamol GV 500 ,7,11-09-16,92,5,No
Estrogens ,7,01-06-17,116,10,No
Acetaminophen ,5,05-09-18,43,3,No
Methotrexate ,2,27-06-16,42,8,No
Trimethoprim ,9,06-08-18,87,2,No
Hydroxychloroquine ,6,18-09-17,111,5,No
Nitazoxanide ,3,06-11-17,59,7,No
Glucagon ,2,28-11-16,126,3,No
Estrogens ,6,06-10-17,108,6,No
RANITIDINE ,1,21-11-18,100,9,No
RANITIDINE ,6,28-04-18,100,2,No
Acetaminophen ,2,13-08-17,61,2,No
Nitazoxanide ,13,23-01-17,73,6,No
PACLITAXEL ,11,19-01-16,40,1,No
Phenothiazines ,6,25-05-17,81,6,No
Ibuprofen ,13,11-12-16,124,4,No
Chloramphenicol ,12,13-08-16,137,6,No
Acetaminophen ,4,12-08-17,50,2,No
Furazolidone ,8,26-08-18,10,1,No
Panadol ,11,28-10-17,49,4,No
Aqueous gentian violet ,2,05-01-19,131,9,No
Scopolamine ,3,06-07-18,93,9,No
DIPYRIDAMOLE ,5,09-05-16,21,2,No
Aqueous gentian violet ,10,19-11-17,126,3,No
Ibuprofen ,4,05-11-16,94,9,No
Phenothiazines ,10,20-06-16,83,6,No
Paracetamol GV 500 ,13,11-01-18,70,10,No
MAGALDRATE ,13,15-01-19,102,7,No
RANITIDINE ,9,06-10-16,27,6,No
PACLITAXEL ,13,25-05-17,46,7,No
MAGALDRATE ,11,07-12-17,87,10,No
Methotrexate ,3,06-07-18,33,3,No
Scopolamine ,7,16-05-17,100,4,No
Glucagon ,8,23-05-17,117,3,No
MAGALDRATE ,3,30-07-18,55,2,No
FLUOXETINE ,10,12-02-18,36,7,No
Estrogens ,6,26-01-17,35,5,No
Glucagon ,5,13-04-16,86,7,No
RANITIDINE ,4,24-02-18,133,7,No
Phenothiazines ,3,19-03-17,32,2,No
MAGALDRATE ,12,25-09-17,62,5,No
Antihistamines ,9,26-04-16,43,9,No
Ciprofloxacin ,2,14-10-17,67,6,No
PACLITAXEL ,4,10-07-16,97,8,No
ciprofloxacin ,12,04-05-18,138,9,No
RANITIDINE ,13,04-03-19,125,7,No
Ibuprofen ,3,28-06-17,49,10,No
Aspirin ,13,28-06-16,41,7,No
Phenothiazines ,11,27-11-18,74,2,No
Adrenaline ,10,13-02-18,110,1,No
Scopolamine ,10,05-05-18,50,5,No
Ciprofloxacin ,6,22-04-19,49,9,No
MAGALDRATE ,12,10-01-19,112,10,No
Scopolamine ,5,28-10-18,30,3,No
RANITIDINE ,3,30-01-17,16,1,No
Antihistamines ,8,11-07-16,58,4,No
Methotrexate ,5,23-08-17,98,2,No
Furazolidone ,12,16-04-17,74,4,No
DIPYRIDAMOLE ,4,12-08-18,87,8,No
Glucagon ,7,16-12-18,25,6,No
Nitazoxanide ,3,15-04-19,96,9,No
Acetaminophen ,3,28-04-17,109,5,No
Tetracycline ,3,23-08-17,77,9,No
Dantrolene ,12,11-05-18,69,9,No
FLUOXETINE ,11,29-11-18,102,8,No
Methotrexate ,6,17-01-18,93,6,No
Aminophylline ,6,26-03-18,39,4,No
FLUOXETINE ,10,13-03-18,55,8,No
RANITIDINE ,4,17-08-18,74,5,No
Ciprofloxacin ,11,17-12-18,97,10,No
Hydroxychloroquine ,5,09-02-18,101,8,No
RANITIDINE ,9,13-10-16,88,10,No
Aminophylline ,2,01-10-18,65,2,No
RANITIDINE ,13,28-09-16,50,2,No
FLUOXETINE ,11,02-06-17,63,5,No
Paracetamol GV 500 ,13,13-07-17,29,10,No
Aminophylline ,8,24-08-17,38,10,No
Antihistamines ,6,31-12-16,39,5,No
Trimethoprim ,10,25-07-16,109,9,No
RANITIDINE ,9,12-07-18,105,3,No
ciprofloxacin ,8,05-01-16,102,8,No
Antihistamines ,7,17-09-16,55,6,No
Nitazoxanide ,7,05-05-18,133,5,No
Keratolytics ,12,26-09-16,37,7,No
Phenothiazines ,2,02-08-16,114,9,No
Ciprofloxacin ,6,01-01-19,138,10,No
MAGALDRATE,6,29-08-18,50,6,No
RANITIDINE ,3,26-04-16,60,9,No
Keratolytics ,13,19-03-17,15,6,No
Trimethoprim ,13,13-03-16,108,8,No
Vitamin K ,9,16-08-18,72,2,No
MAGALDRATE ,7,26-07-17,96,4,No
Methotrexate ,3,21-06-16,49,3,No
Adrenaline ,11,28-03-19,60,9,No
Phenothiazines ,3,25-01-18,93,7,No
Furazolidone ,2,18-08-17,47,8,No
FLUOXETINE ,10,19-09-17,12,4,No
Keratolytics ,10,01-01-18,80,10,No
Nitazoxanide ,5,04-05-19,48,3,No
RANITIDINE ,11,08-09-16,21,10,No
Acyclovir ,6,05-01-18,19,7,No
Furazolidone ,9,14-11-16,78,1,No
RANITIDINE ,10,06-03-18,34,3,No
FLUOXETINE ,13,18-01-19,112,5,No
Aspirin ,11,11-11-16,20,8,No
Estrogens ,5,19-05-18,41,6,No
Acyclovir ,3,17-04-18,128,7,No
METRONIDAZOLE ,9,05-02-16,17,7,No
RANITIDINE ,12,05-10-17,121,1,No
RANITIDINE ,11,07-01-19,137,4,No
Ciprofloxacin ,12,20-05-16,69,8,No
Panadol ,9,06-09-18,35,3,No
ciprofloxacin ,1,19-04-19,134,1,No
Antihistamines ,12,20-04-19,39,9,No
PACLITAXEL ,7,27-08-16,87,3,No
Aspirin ,10,10-07-18,42,7,No
Aminophylline ,9,19-11-18,124,2,No
Trimethoprim ,13,26-04-17,31,2,No
Hydroxychloroquine ,6,07-08-16,117,5,No
METRONIDAZOLE ,8,08-09-17,127,8,No
Methotrexate ,8,21-07-18,70,7,No
Methotrexate ,7,20-11-18,36,1,No
Vitamin K ,10,04-03-18,111,6,No
Chloramphenicol ,8,16-04-18,25,6,No
Aminophylline ,12,26-09-16,24,7,No
Ciprofloxacin ,7,22-08-18,86,8,No
DIPYRIDAMOLE ,5,17-07-18,29,8,No
SODIUM CHLORIDE ,7,29-03-16,38,7,No
Ibuprofen ,2,23-02-19,106,7,No
Aspirin ,11,07-02-19,35,2,No
Estrogens ,12,17-03-18,67,7,No
Vitamin K ,5,11-09-18,45,6,No
Aminophylline ,11,01-07-16,111,9,No
METRONIDAZOLE ,9,03-01-17,96,10,No
Ibuprofen ,8,30-09-17,140,8,No
Methotrexate ,5,10-06-17,124,8,No
Phenothiazines ,7,14-05-16,32,3,No
DIPYRIDAMOLE ,7,21-07-17,131,8,No
Furazolidone ,12,08-09-16,91,9,No
DIPYRIDAMOLE ,12,18-09-17,88,4,No
Keratolytics ,9,27-01-18,126,3,No
Ciprofloxacin ,12,14-08-18,85,3,No
Adrenaline ,13,03-09-16,35,9,No
Scopolamine ,3,27-03-16,132,5,No
DIPYRIDAMOLE ,10,23-05-18,10,4,No
RANITIDINE ,6,24-11-17,112,4,No
MAGALDRATE ,11,11-05-17,131,6,No
Trimethoprim ,3,10-01-17,53,3,No
Paracetamol GV 500 ,9,28-04-17,23,2,No
Paracetamol GV 500 ,12,13-10-17,100,8,No
METRONIDAZOLE ,11,03-02-17,24,8,No
Antihistamines ,7,20-11-16,98,2,No
Nitazoxanide ,2,11-09-16,117,2,No
Aspirin ,9,02-07-17,131,8,No
Paracetamol GV 500 ,5,26-08-18,45,4,No
Adrenaline ,11,01-01-16,107,10,No
Estrogens ,6,20-04-18,15,2,No
ciprofloxacin ,12,14-01-16,119,6,No
Vitamin K ,11,23-01-17,84,10,No
RANITIDINE ,10,09-06-18,103,7,No
Scopolamine ,6,03-07-17,132,7,No
DIPYRIDAMOLE ,1,28-01-17,109,4,No
RANITIDINE ,12,24-01-16,85,6,No
Furazolidone ,8,09-03-17,42,2,No
Adrenaline ,3,24-08-16,27,2,No
METRONIDAZOLE ,2,20-05-17,93,1,No
Hydroxychloroquine ,3,24-10-17,51,1,No
Acyclovir ,3,11-09-16,94,1,No
Aminophylline ,8,04-12-16,48,10,No
Keratolytics ,6,19-08-17,97,6,No
ciprofloxacin ,6,07-11-18,77,8,No
MAGALDRATE ,7,07-11-17,12,1,No
Phenothiazines ,9,26-01-18,120,2,No
Phenothiazines ,7,05-06-17,34,3,No
Nitazoxanide ,7,22-11-16,41,6,No
Trimethoprim ,12,27-06-17,50,10,No
Glucagon ,7,14-03-18,140,6,No
Scopolamine ,13,20-05-17,108,5,No
Antihistamines ,13,27-04-19,21,6,No
Keratolytics ,6,05-03-17,101,9,No
Furazolidone ,7,08-07-17,133,3,No
Aqueous gentian violet ,12,06-06-17,43,8,No
Furazolidone ,2,14-11-17,19,2,No
RANITIDINE ,13,21-01-19,53,5,No
ciprofloxacin ,12,12-05-17,41,3,No
Estrogens ,2,30-05-17,61,8,No
Estrogens ,12,30-04-19,136,8,No
Methotrexate ,2,17-04-16,48,2,No
RANITIDINE ,1,11-03-16,21,3,No
FLUOXETINE ,5,19-04-17,36,9,No
Ibuprofen ,10,16-03-19,46,1,No
Estrogens ,13,26-09-18,29,9,No
Paracetamol GV 500 ,5,06-04-19,119,1,No
Glucagon ,7,01-02-18,56,9,No
SODIUM CHLORIDE ,8,25-11-18,51,4,No
Furazolidone ,4,28-03-18,53,8,No
SODIUM CHLORIDE ,7,05-04-16,48,9,No
MAGALDRATE ,2,25-07-18,15,9,Yes
Nitazoxanide ,13,15-05-16,55,2,No
Scopolamine ,8,27-05-18,92,1,No
Estrogens ,8,02-03-19,41,9,No
Acetaminophen ,12,29-09-16,101,10,No
RANITIDINE ,6,09-04-17,30,10,No
METRONIDAZOLE ,11,01-02-17,20,8,No
Ibuprofen ,9,23-01-16,140,10,No
Chloramphenicol ,4,12-04-16,114,7,No
Antihistamines ,2,01-09-18,120,5,No
Antihistamines ,3,01-01-19,96,7,No
Antihistamines ,5,21-10-18,124,8,No
Scopolamine ,8,18-04-17,103,8,No
Aqueous gentian violet ,2,16-02-16,121,5,No
Tetracycline ,1,26-01-18,52,2,No
RANITIDINE ,4,25-11-16,74,6,No
Dantrolene ,9,25-01-19,129,10,No
ciprofloxacin ,13,14-03-18,53,6,No
Dantrolene ,9,12-07-18,54,5,No
RANITIDINE ,3,22-04-18,84,2,No
DIPYRIDAMOLE ,2,10-08-16,56,3,No
METRONIDAZOLE ,8,19-01-18,77,3,No
Nitazoxanide ,8,13-12-16,34,2,No
RANITIDINE ,5,21-02-19,88,2,No
Scopolamine ,2,11-02-19,59,5,No
Dantrolene ,8,03-01-18,102,4,No
ciprofloxacin ,9,17-11-16,35,8,No
Ibuprofen ,1,10-11-16,82,2,No
Vitamin K ,3,10-03-19,50,2,No
Ibuprofen ,7,21-07-16,89,3,No
Aminophylline ,10,18-11-18,126,8,No
Aspirin ,6,03-02-18,82,5,No
RANITIDINE ,11,28-03-17,16,3,No
Trimethoprim ,12,21-04-18,78,2,No
FLUOXETINE ,6,13-04-16,61,8,No
Acetaminophen ,9,27-04-18,41,10,No
Nitazoxanide ,5,13-05-17,70,3,No
Antihistamines ,1,17-04-16,38,7,No
Aminophylline ,7,11-01-16,49,2,No
Furazolidone ,6,21-02-18,136,4,No
Paracetamol GV 500 ,3,24-09-16,114,3,No
Acyclovir ,10,22-01-16,78,6,No
Hydroxychloroquine ,11,17-12-16,120,7,No
Ibuprofen ,5,14-10-16,23,8,No
Hydroxychloroquine ,8,25-12-17,31,9,No
RANITIDINE ,11,07-06-16,82,3,No
MAGALDRATE ,5,11-02-17,18,6,No
Aspirin ,12,28-03-18,46,3,No
Ibuprofen ,7,17-04-16,48,9,No
Ibuprofen ,12,13-08-16,134,1,No
Aqueous gentian violet ,7,14-04-17,25,3,No
Furazolidone ,4,04-01-19,19,10,Yes
Ciprofloxacin ,5,23-04-18,135,1,No
FLUOXETINE ,8,28-01-18,114,5,No
Ciprofloxacin ,12,07-07-16,136,6,No
Keratolytics ,1,19-05-17,12,6,Yes
Adrenaline ,10,25-06-16,82,5,No
Panadol ,10,10-10-17,64,2,No
METRONIDAZOLE ,2,19-11-17,102,9,No
Adrenaline ,4,30-09-16,132,3,No
MAGALDRATE ,7,04-03-19,134,4,No
Furazolidone ,5,02-08-18,12,6,Yes
Furazolidone ,4,21-10-18,122,1,No
Acetaminophen ,1,03-01-17,66,5,No
Acetaminophen ,3,26-03-19,65,3,No
PACLITAXEL ,6,29-05-17,94,5,No
MAGALDRATE ,9,27-04-17,60,7,No
Adrenaline ,1,15-03-19,129,1,No
Ibuprofen ,2,30-04-16,82,3,No
Glucagon ,7,03-06-17,114,1,No
SODIUM CHLORIDE ,7,11-05-17,116,2,No
Ibuprofen ,10,08-07-18,115,4,No
RANITIDINE ,4,09-06-17,51,7,No
Dantrolene ,13,01-03-19,79,2,No
Furazolidone ,7,30-03-16,95,10,No
Adrenaline ,5,24-02-16,30,2,No
Aqueous gentian violet ,11,10-12-17,66,4,No
RANITIDINE ,10,21-02-17,109,8,No
Trimethoprim ,8,21-08-16,136,5,No
FLUOXETINE ,10,10-04-16,27,7,No
Panadol ,11,13-05-17,29,3,No
Vitamin K ,9,27-12-16,17,4,No
MAGALDRATE,12,06-06-18,131,9,No
Phenothiazines ,7,24-12-16,33,2,No
Glucagon ,13,18-05-17,81,2,No
Panadol ,9,13-01-18,36,9,No
PACLITAXEL ,10,02-01-19,16,4,No
PACLITAXEL ,11,05-03-16,68,8,No
Antihistamines ,3,31-10-16,136,3,No
Keratolytics ,4,12-05-17,81,3,No
Trimethoprim ,12,03-09-18,13,1,No
Panadol ,7,08-10-18,15,3,No
Panadol ,2,07-12-18,56,6,No
Aqueous gentian violet ,1,08-01-17,23,8,No
Aminophylline ,12,05-11-18,81,3,No
Glucagon ,11,06-03-16,135,4,No
Antihistamines ,4,04-07-17,132,3,No
Vitamin K ,2,23-10-16,90,6,No
Antihistamines ,1,05-06-16,13,5,No
MAGALDRATE ,11,22-12-17,11,5,No
Estrogens ,9,16-02-17,39,9,No
Tetracycline ,3,08-07-17,67,5,No
Aqueous gentian violet ,11,23-04-18,132,5,No
Hydroxychloroquine ,3,15-07-17,57,2,No
Panadol ,5,31-01-17,115,3,No
Nitazoxanide ,7,14-09-16,11,2,No
Hydroxychloroquine ,6,21-10-16,139,5,No
RANITIDINE ,13,21-02-17,74,6,No
Ciprofloxacin ,8,27-08-16,86,6,No
Glucagon ,12,16-09-17,117,1,No
Ciprofloxacin ,11,01-09-18,58,5,No
Nitazoxanide ,3,05-05-16,106,9,No
Antihistamines ,9,08-04-17,126,2,No
PACLITAXEL ,13,12-02-18,46,3,No
Scopolamine ,3,11-09-16,51,9,No
SODIUM CHLORIDE ,3,30-05-18,17,2,No
Trimethoprim ,4,22-03-17,133,4,No
METRONIDAZOLE ,9,26-06-16,129,2,No
Ciprofloxacin ,3,12-03-19,87,5,No
Phenothiazines ,1,22-02-18,79,9,No
Trimethoprim ,13,11-07-18,109,5,No
Chloramphenicol ,5,11-09-18,82,1,No
Hydroxychloroquine ,9,23-07-16,61,7,No
Antihistamines ,8,04-09-18,67,4,No
Nitazoxanide ,1,12-01-17,58,2,No
PACLITAXEL ,3,15-04-19,137,5,No
Acetaminophen ,13,27-03-18,30,1,No
FLUOXETINE ,10,31-01-16,82,10,No
MAGALDRATE ,9,27-12-18,104,8,No
DIPYRIDAMOLE ,7,08-07-16,81,7,No
Panadol ,12,08-07-16,106,8,No
Vitamin K ,7,31-07-18,92,7,No
Scopolamine ,10,28-01-18,40,5,No
Estrogens ,2,10-04-19,80,6,No
Ibuprofen ,12,13-03-19,35,8,No
Keratolytics ,9,06-12-17,20,3,No
RANITIDINE ,13,06-02-19,104,6,No
Ibuprofen ,1,07-01-16,65,10,No
METRONIDAZOLE ,10,01-05-18,70,3,No
FLUOXETINE ,12,18-02-17,98,5,No
Trimethoprim ,10,14-06-18,65,4,No
Hydroxychloroquine ,7,20-08-16,35,6,No
Phenothiazines ,1,25-12-16,75,10,No
MAGALDRATE,9,02-03-19,15,5,No
ciprofloxacin ,9,27-04-19,134,9,No
Hydroxychloroquine ,7,03-12-16,111,10,No
SODIUM CHLORIDE ,4,13-08-17,17,6,No
FLUOXETINE ,12,04-11-17,61,10,No
Ciprofloxacin ,9,16-04-16,102,8,No
Aminophylline ,4,02-04-17,16,10,Yes
Ciprofloxacin ,13,05-07-16,29,10,No
Furazolidone ,13,18-06-16,112,5,No
Aspirin ,3,25-07-17,57,4,No
SODIUM CHLORIDE ,6,14-04-17,115,5,No
Phenothiazines ,12,30-04-16,125,6,No
METRONIDAZOLE ,12,04-09-17,22,5,No
Scopolamine ,4,22-03-19,117,7,No
MAGALDRATE ,5,28-04-16,79,6,No
RANITIDINE ,1,09-12-18,112,8,No
Acyclovir ,10,26-06-17,115,8,No
Ibuprofen ,13,26-05-17,34,5,No
MAGALDRATE ,9,21-09-17,62,4,No
Paracetamol GV 500 ,2,04-02-16,68,6,No
Ibuprofen ,7,11-07-16,10,6,Yes
Acetaminophen ,10,03-05-16,10,8,Yes
Tetracycline ,13,20-12-16,90,10,No
Acyclovir ,13,25-03-18,43,3,No
Ciprofloxacin ,5,25-09-17,111,9,No
METRONIDAZOLE ,13,27-08-18,60,2,No
Furazolidone ,11,22-08-18,70,4,No
Trimethoprim ,7,01-05-19,33,10,No
Hydroxychloroquine ,13,27-11-18,120,3,No
ciprofloxacin ,9,24-08-18,43,4,No
Vitamin K ,7,05-07-18,37,2,No
Nitazoxanide ,3,11-02-19,136,5,No
Estrogens ,11,25-02-18,92,10,No
Panadol ,11,02-08-16,133,9,No
Aspirin ,12,29-12-18,38,4,No
Panadol ,11,29-09-17,102,4,No
RANITIDINE ,9,31-10-16,51,2,No
FLUOXETINE ,11,03-10-18,12,2,No
Panadol ,6,02-04-19,76,10,No
Paracetamol GV 500 ,4,01-05-18,91,3,No
Estrogens ,13,17-12-16,15,7,No
Phenothiazines ,2,16-04-19,42,9,No
Keratolytics ,13,22-09-18,126,5,No
Furazolidone ,3,25-06-18,16,8,Yes
Aqueous gentian violet ,12,09-10-17,77,6,No
FLUOXETINE ,9,09-03-17,24,5,No
Panadol ,5,11-09-16,95,5,No
Paracetamol GV 500 ,1,31-03-18,79,1,No
Acyclovir ,2,08-03-17,27,6,No
Vitamin K ,4,05-04-18,91,9,No
Tetracycline ,2,14-05-17,60,7,No
Paracetamol GV 500 ,7,04-08-18,79,5,No
RANITIDINE ,6,13-09-18,28,1,No
Ibuprofen ,6,12-08-16,78,8,No
Ciprofloxacin ,13,01-12-18,26,5,No
RANITIDINE ,2,03-05-16,70,3,No
ciprofloxacin ,1,20-09-18,96,7,No
Furazolidone ,5,13-10-16,25,9,No
SODIUM CHLORIDE ,1,25-09-17,29,7,No
Nitazoxanide ,1,22-06-16,53,1,No
Vitamin K ,6,15-12-18,33,8,No
Keratolytics ,3,04-03-19,20,1,No
Ibuprofen ,2,03-06-17,67,3,No
Adrenaline ,5,18-07-17,126,10,No
Furazolidone ,4,02-10-17,13,10,Yes
Panadol ,5,11-01-16,91,2,No
Acyclovir ,2,14-02-18,77,5,No
Vitamin K ,11,23-06-18,115,4,No
Aspirin ,13,09-09-16,87,1,No
Dantrolene ,11,13-12-17,75,3,No
Scopolamine ,11,16-05-17,128,4,No
Glucagon ,9,08-01-16,122,7,No
Scopolamine ,1,14-07-16,80,3,No
Glucagon ,11,08-10-17,32,6,No
Glucagon ,2,01-12-18,127,6,No
Antihistamines ,3,27-03-16,17,2,No
MAGALDRATE,7,06-07-18,88,5,No
Acyclovir ,7,22-11-16,135,9,No
Ibuprofen ,11,17-09-18,27,2,No
Ibuprofen ,2,20-05-17,18,5,No
Panadol ,12,05-03-16,113,1,No
PACLITAXEL ,13,25-03-18,107,1,No
Aminophylline ,5,08-02-19,46,3,No
METRONIDAZOLE ,7,01-09-18,11,1,No
MAGALDRATE,8,23-04-17,53,7,No
Antihistamines ,8,05-01-18,59,5,No
Glucagon ,7,02-10-18,97,6,No
Estrogens ,9,14-08-17,60,1,No
SODIUM CHLORIDE ,11,22-04-18,77,2,No
DIPYRIDAMOLE ,4,08-04-19,42,6,No
RANITIDINE ,6,30-04-16,49,4,No
Panadol ,7,09-03-17,53,4,No
Tetracycline ,5,19-12-18,97,7,No
MAGALDRATE,7,13-08-18,52,8,No
RANITIDINE ,12,20-01-18,58,10,No
FLUOXETINE ,10,01-11-16,32,3,No
Phenothiazines ,6,25-04-18,117,2,No
Acetaminophen ,12,01-04-16,126,6,No
RANITIDINE ,5,04-12-16,88,4,No
Antihistamines ,7,13-01-17,112,10,No
Scopolamine ,7,03-12-17,132,8,No
Ibuprofen ,1,18-01-18,84,6,No
Hydroxychloroquine ,3,18-04-17,139,1,No
RANITIDINE ,7,13-08-17,67,2,No
Dantrolene ,5,05-06-17,66,2,No
Scopolamine ,9,04-05-17,19,6,No
Scopolamine ,6,12-06-17,46,7,No
Phenothiazines ,5,14-02-19,61,5,No
Scopolamine ,4,22-01-17,121,2,No
Vitamin K ,12,24-08-16,75,5,No
Aspirin ,1,24-01-17,103,5,No
Scopolamine ,3,28-06-17,37,7,No
Ciprofloxacin ,5,11-09-17,11,6,Yes
PACLITAXEL ,3,06-11-17,96,6,No
Aspirin ,2,08-11-17,109,10,No
MAGALDRATE ,10,10-05-17,25,7,No
Panadol ,11,02-08-16,127,5,No
Glucagon ,1,15-07-16,87,2,No
Dantrolene ,11,23-03-19,64,5,No
Nitazoxanide ,4,23-09-18,72,7,No
RANITIDINE ,10,21-11-18,66,6,No
Dantrolene ,13,18-10-16,48,9,No
Trimethoprim ,11,18-11-16,79,9,No
MAGALDRATE,3,28-11-17,121,1,No
Aspirin ,5,21-01-19,38,10,No
Tetracycline ,10,30-09-16,118,2,No
Trimethoprim ,5,15-02-16,114,8,No
RANITIDINE ,2,31-07-18,94,8,No
Glucagon ,5,23-07-18,114,7,No
Ibuprofen ,11,10-02-18,16,1,No
Vitamin K ,12,10-09-18,22,10,No
Nitazoxanide ,1,03-05-18,43,10,No
Estrogens ,11,01-03-16,107,4,No
Furazolidone ,1,15-09-16,78,1,No
Aqueous gentian violet ,10,01-03-16,45,1,No
SODIUM CHLORIDE ,11,13-03-17,12,10,Yes
RANITIDINE ,6,14-09-16,56,3,No
Dantrolene ,11,31-07-18,104,10,No
FLUOXETINE ,4,21-10-18,90,1,No
Ibuprofen ,5,06-02-17,99,6,No
SODIUM CHLORIDE ,2,15-08-18,81,6,No
Estrogens ,9,25-09-18,100,3,No
Ciprofloxacin ,8,10-08-17,119,7,No
Methotrexate ,2,23-08-18,120,1,No
ciprofloxacin ,10,16-01-17,58,3,No
Ciprofloxacin ,12,24-01-16,104,6,No
FLUOXETINE ,4,14-03-19,49,1,No
Tetracycline ,2,28-01-18,33,8,No
RANITIDINE ,7,17-05-17,64,5,No
RANITIDINE ,4,15-11-17,65,5,No
Ciprofloxacin ,13,24-02-19,24,8,No
Paracetamol GV 500 ,11,30-10-16,73,9,No
Paracetamol GV 500 ,10,10-09-18,65,8,No
Aqueous gentian violet ,1,12-04-16,15,7,No
Scopolamine ,10,05-06-17,88,2,No
RANITIDINE ,13,15-01-17,100,10,No
Scopolamine ,6,18-03-18,28,3,No
Panadol ,10,07-04-17,129,10,No
Ciprofloxacin ,8,20-02-19,109,6,No
Panadol ,9,20-07-17,36,4,No
Chloramphenicol ,9,24-03-17,73,3,No
MAGALDRATE,1,15-12-18,63,3,No
Aspirin ,2,08-06-18,61,9,No
METRONIDAZOLE ,10,25-01-17,110,1,No
Dantrolene ,13,27-02-18,140,1,No
Panadol ,8,17-11-16,22,6,No
METRONIDAZOLE ,4,12-09-16,111,6,No
Keratolytics ,12,22-02-16,29,4,No
Panadol ,7,04-08-16,103,5,No
MAGALDRATE ,11,21-10-17,136,8,No
